domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,plantstatus,stemdiameter,measurementheight,vdapexheight,vdbaseheight,vdapexbreakheight,vdbasebreakheight,basecrownheight,maxcrowndiameter,ninetycrowndiameter,breakdiameter,canopyposition,shape,basalstemdiameter,basalstemdiametermeasurementheight,maxbasecrowndiameter,ninetybasecrowndiameter,remarks,recordedby,measuredby
D05,TREE,TREE_056,21,,107,NEON.PLA.D05.TREE.00107,1,31.1,130,17,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,146,NEON.PLA.D05.TREE.00146,1,8.5,130,11.1,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,189,NEON.PLA.D05.TREE.00189,1,9,130,4.7,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,3538,NEON.PLA.D05.TREE.03538,1,,,1.1,0,,,,,,,,,1.6,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,97,NEON.PLA.D05.TREE.00097,1,5.6,130,3.2,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,3539,NEON.PLA.D05.TREE.03539,1,,,1.1,0,,,,,,,,,1.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,177,NEON.PLA.D05.TREE.00177,1,1.7,130,2.3,0,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,162,NEON.PLA.D05.TREE.00162,1,,,1,0,,,,,,,,,1.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,271,NEON.PLA.D05.TREE.00271,1,1.4,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.3,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,271,NEON.PLA.D05.TREE.00271,1,1.2,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.3,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,96,NEON.PLA.D05.TREE.00096,1,51.9,130,19.3,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,66,NEON.PLA.D05.TREE.00066,1,11.5,130,9.5,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,11,NEON.PLA.D05.TREE.00011,1,7,130,3.9,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,168,NEON.PLA.D05.TREE.00168,1,8.3,130,3.6,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,61,NEON.PLA.D05.TREE.00061,1,7.5,135,4.3,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,29,NEON.PLA.D05.TREE.00029,1,3.6,130,19.1,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,658,NEON.PLA.D05.TREE.00658,1,8.7,130,4.3,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,195,NEON.PLA.D05.TREE.00195,1,13,130,11.2,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,164,NEON.PLA.D05.TREE.00164,1,33.9,130,17,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,699,NEON.PLA.D05.TREE.00699,1,10.5,135,9,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,192,NEON.PLA.D05.TREE.00192,1,12.7,130,8,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,167,NEON.PLA.D05.TREE.00167,1,19.3,130,14.9,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,116,NEON.PLA.D05.TREE.00116,1,33.2,130,17.7,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,98,NEON.PLA.D05.TREE.00098,1,55.3,135,18,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,2,NEON.PLA.D05.TREE.00002,1,20.2,130,16.1,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,109,NEON.PLA.D05.TREE.00109,1,13.7,130,13,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,3542,NEON.PLA.D05.TREE.03542,1,7.8,130,4,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,171,NEON.PLA.D05.TREE.00171,1,7.2,130,3.4,-1.2,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,65,NEON.PLA.D05.TREE.00065,1,19.5,130,13.9,-1.7,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
